               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.011955,           0.0030898,           0.0046576,             0.95325,             0.94392,             0.98399,             0.80873,            0.012356,           0.0031629,            0.010597,            0.001189,            0.001189,            0.001189
                  91,            0.012021,           0.0031733,           0.0039746,             0.93004,             0.95988,             0.98319,             0.80786,              0.0124,           0.0031333,            0.012498,             0.00109,             0.00109,             0.00109
                  92,             0.01179,           0.0031361,           0.0042459,             0.94921,             0.95178,             0.98584,             0.81512,            0.012245,           0.0031352,            0.011472,            0.000991,            0.000991,            0.000991
                  93,            0.011778,           0.0030472,           0.0041481,             0.95788,             0.94766,             0.98526,             0.81237,            0.012252,           0.0031974,           0.0099368,            0.000892,            0.000892,            0.000892
                  94,            0.011612,           0.0031158,           0.0039893,             0.95168,             0.95988,              0.9858,             0.81503,            0.012289,           0.0031554,           0.0079966,            0.000793,            0.000793,            0.000793
                  95,            0.011647,           0.0030417,           0.0040638,             0.95892,             0.93981,             0.98567,             0.81623,            0.012218,           0.0031702,            0.008898,            0.000694,            0.000694,            0.000694
                  96,            0.011561,           0.0031029,           0.0040753,              0.9594,             0.94819,             0.98663,             0.81357,            0.012179,           0.0031578,           0.0071323,            0.000595,            0.000595,            0.000595
                  97,            0.011499,            0.003084,           0.0035817,             0.94488,             0.95227,             0.98512,             0.81584,            0.012123,           0.0031645,           0.0075552,            0.000496,            0.000496,            0.000496
                  98,            0.011356,           0.0030024,           0.0034715,             0.95632,             0.94597,             0.98552,             0.81388,            0.012084,           0.0031858,           0.0079359,            0.000397,            0.000397,            0.000397
                  99,            0.011322,           0.0030038,           0.0032049,              0.9607,             0.94307,              0.9859,             0.81407,            0.012149,           0.0032114,           0.0076204,            0.000298,            0.000298,            0.000298
