               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.013918,           0.0030866,           0.0025926,              0.9869,             0.93008,             0.99009,             0.82992,            0.012068,           0.0029986,           0.0041254,            0.005446,            0.005446,            0.005446
                 140,            0.013991,           0.0030175,           0.0021617,             0.98388,             0.94207,             0.98971,             0.83098,            0.012026,            0.002941,           0.0040841,            0.005413,            0.005413,            0.005413
                 141,            0.014054,           0.0029824,           0.0023566,             0.98373,             0.93319,             0.99027,              0.8275,            0.012109,           0.0029663,           0.0039829,             0.00538,             0.00538,             0.00538
                 142,            0.014249,           0.0030265,           0.0023682,             0.97753,             0.93975,             0.98984,             0.82829,            0.012079,           0.0029606,           0.0038398,            0.005347,            0.005347,            0.005347
                 143,            0.014017,           0.0030106,           0.0027006,             0.98073,             0.94226,             0.99055,             0.83292,             0.01205,           0.0029453,           0.0038813,            0.005314,            0.005314,            0.005314
                 144,            0.013956,           0.0030644,           0.0022114,             0.97913,             0.94131,                0.99,             0.82889,            0.012026,           0.0029698,           0.0039856,            0.005281,            0.005281,            0.005281
                 145,             0.01399,           0.0030425,           0.0023576,             0.98534,             0.93358,             0.98973,             0.83132,            0.011947,           0.0029395,           0.0039413,            0.005248,            0.005248,            0.005248
                 146,            0.013871,           0.0028986,           0.0023906,             0.98399,             0.94833,             0.98936,             0.83586,            0.011948,           0.0029471,           0.0036756,            0.005215,            0.005215,            0.005215
                 147,            0.013925,           0.0030208,           0.0026736,             0.97601,             0.94187,             0.98949,             0.83176,            0.011987,           0.0029637,             0.00386,            0.005182,            0.005182,            0.005182
                 148,            0.014001,           0.0030156,            0.002501,              0.9747,             0.95122,             0.99034,             0.83007,            0.012004,           0.0029647,           0.0035586,            0.005149,            0.005149,            0.005149
                 149,             0.01391,           0.0030316,           0.0022233,             0.97744,             0.94907,             0.99021,             0.83103,             0.01201,           0.0029484,           0.0034889,            0.005116,            0.005116,            0.005116
                 150,            0.013841,           0.0029462,            0.002125,             0.97324,             0.95397,             0.98981,             0.83521,            0.011948,           0.0029559,            0.003679,            0.005083,            0.005083,            0.005083
                 151,              0.0138,           0.0028869,           0.0023722,             0.98068,             0.93992,             0.98955,             0.83363,             0.01197,           0.0029496,           0.0040681,             0.00505,             0.00505,             0.00505
